Species,Length,Height,Thickness,True_Mass
Carassius auratus,5.4,2.5,1.2,5.7
Carassius auratus,5.5,2.3,1.2,5.3
Carassius auratus,5.2,2.3,1.2,5
Carassius auratus,6.2,2.5,1.2,6.5
Amatitlania nigrofasciata,3.9,2.2,1.6,4.5
Amatitlania nigrofasciata,3.6,2.1,1.4,4
Trichogaster trichopterus,5.2,1.8,1.0,3.8
Trichogaster trichopterus,5.8,2.0,1.2,4.3
Trichogaster pectoralis,4.5,1.7,0.9,1.9
Trichogaster pectoralis,4.9,1.8,1.0,2.9

